1	марку 160	марки 4	штемпель 1	штамп 1	две марки 1	почтовую, марку 1	— 1	почтовые марки 1
2	темноте 159	ночи 8	темонте 1	ночь 1	штанах 1	комнате 1
3	свет 137	телевизор 12	лампу 4	светильник 3	утюг 2	ночник 2	торшер 2	музыку 1	темноту 1	радио 1	обогреватель 1	радиоприемник 1	люстру 1	лампадку ? 1	электричество 1	телефизор 1	приемник 1
4	кулисы 131	сцену 14	занавес 11	пивом 2	ширму 2	кулис 1	актером 1	нет ответа 1	как они называются, за кулисы 1	навес 1	кулису 1	дом 1	зановесь 1	дверь 1	рамки 1	стол 1	кулисами 1
5	реке 138	горной реке 6	склону 5	речке 4	порогам 2	течению 2	Волге 2	озеру 2	реке  2	реке Кура 1	водопаду 1	горной реке  1	Оке 1	каналу 1	течению реки 1	сплаву 1	реке Волге 1
6	чай 82	стакан 61	чашку 10	кружку 5	кофе 3	стакан чая 2	столешницу 1	чашечку 1	- 1	стакан, чай 1	бокал 1	стаканчик 1	шкафу 1	вот в эту выемку между полочками, где полотенца складываешь на ночь 1	стакан с чайем 1
7	раковину 98	мойку 34	посудомойку 22	посудомоечную машину 6	шкаф 4	машину 1	умывальник 1	мусор 1	рукомойник 1	машину посудомоечную 1	стопку 1	поднос 1	деньги 1
8	доске 168	плитке 1	потолке 1	окне 1
9	посуду 139	пол 7	тарелки 5	стол 3	окно 2	полы 2	кастрюлю 2	NR 1	тарелку 1	руки 1	раму 1	ложку 1	цветы 1	шторы 1	ребенка 1	окна 1	ванную 1
10	печь 145	печку 18	баню 3	лед 1	- 1	избу 1	соседей 1	масло 1	котят 1
11	глины 89	пластилина 46	пластелина 29	пельменей 1	капусты 1	теста 1	полимерной глины 1	- 1	стол 1	песка 1
12	дверь 146	окна 6	двери 4	окно 3	ставни 3	шторы 3	слив 1	занавески 1	рот 1	плотно 1	замок 1	шторку 1	входную дверь 1
13	елку 138	дом 10	квартиру 5	комнату 4	елочку 2	ель 2	стол 2	819 1	двери 1	зал 1	баню 1	игрушками 1	хату 1	новогоднюю елку 1	дверь 1
14	фена 163	полотенца 5	утюга 1	сушилки 1	ветра 1	духовки 1
15	шнурки 153	шнурок 6	узел 3	бантик 3	шнурочки 2	банты 1	бантики 1	кроссовки 1	шнуровку 1	узлы 1
16	свечу 116	свечку 22	свечи 20	лампаду 3	свечки 3	огонь 1	- 1	свет 1	лампу 1	лучину 1	кадило 1	нет ответа 1	свечь 1
17	стол 153	столом 14	столы 2	компьютер 1	обед 1	круглым столом 1
18	аптеке 155	магазине 5	упаковке 1	лесу 1	каплях/аптеке 1	- 1	спине 1	пятницу 1	апетке 1	нет ответа 1	12 вечера 1
19	ноги 124	ботинки 12	ножки 7	носки 5	сапоги 5	обувь 4	сандали 3	туфли 3	сандалии 1	босоножки 1	руки 1	живот 1	шорты 1	кроссовки 1	сапожки 1	вещи 1	колготки 1
20	школу 156	сад 5	детский сад 4	туалет 1	ясли 1	детский сад, школу 1	тапочках 1	колготках 1	кружок 1	садик, школу 1
21	дерево 79	растение 56	цветы 15	растения 6	деревья 2	деревце 2	кусты 2	цветы, дерево 1	поле 1	яблоко 1	- 1	цветы, клумбу 1	клумбы 1	растениие 1
22	велосипеде 159	самокате 5	ягуаре 1	тренажере 1	мопеде 1	велолсипеде 1	влосипеде 1	велосепеде 1	дереве 1	тракторе 1
23	карандаш 163	нож 3	мелок 1	карндаш 1	карандашик 1	металл 1	метал 1
24	раме 97	оправе 32	рамке 31	окантовке 2	оправой 1	- 1	рамой 1	шкатулке 1	рамкой 1	головой 1	подставке 1	иллюстрацией 1	ладно, рамке, но там слово какое-то есть для этого правильное  1
25	каблуках 163	шпильках 5	кабулуках 1	ботфортах 1	платформах 1	лабутенах 1
26	ошибку 153	оплошность 11	описку 3	оплошность ошибку 1	помарку 1	промашку 1	оговорку 1
27	мнение 112	недовольство 26	негодование 8	неудовольствие 7	неодобрение 5	отношение 2	недоумение 2	фе 2	работникам 1	- 1	презрение 1	предложение 1	возмущение 1	неудовольствия 1	пожелание 1	отвращение 1
28	языка 166	уха 1	алфавита 1	яязыка 1	язяка 1	барокко 1	язвка 1
29	школах 133	заведениях 7	колледжах 6	гимназиях 5	пансионах 3	университетах 3	пансионатах 2	вузах 2	учереждениях 2	учебных заведениях 2	домах 1	учреждениях 1	актерских 1	школах или эмм колледжах 1	коллеждах 1	институтах 1
30	песню 140	песенку 23	частушку 3	мелодию 2	песнь 1	колыбельную 1	забавную песню 1
31	сок 164	ликер 2	фреш 2	отвар 1	чай 1	напиток 1	грок 1
32	голос 81	крик 36	смех 17	плач 16	стон 6	вопль 3	визг 3	 голос 2	вздох 1	разговор 1	хохот 1	голосок 1	оргазмический звук 1	шопот 1	шепот 1
33	фильме 84	сериале 32	эпизоде 27	кино 11	боевике 2	клипе 2	спектакле 2	порно 2	ток-шоу 1	- 1	рекламном ролике 1	ролике 1	порнофильме 1	водевиле 1	трейлере 1	кинофильме 1	эпизодике 1	фильмы 1
34	телевизор 126	сериал 11	канал 9	фильм 8	компьютер 4	телефизор 3	телефон/телевизор 1	первый канал 1	радиоприемник 1	видеомагнитофон 1	теелвизор 1	магнитофон 1	микрофон 1	Первый канал 1	телесериал 1
35	бульон 130	суп 37	бульончик 2	суп, бульон 1	суп/бульон 1	гуляш 1
36	факультете 153	институте 4	отделении 4	университете 2	унивеситете 1	фаультете 1	ВУЗе 1	заводе 1	на бухгалтера 1	техникуме 1	профиле 1	колледже 1	классе 1
37	таблетки 97	лекарства 26	капли 18	средства 7	пилюли 6	препараты 4	таблеточки 2	микстуры 1	медикаменты 1	- 1	развлечения 1	антидепрессанты 1	средство 1	на дом 1	настои 1	теблетки 1	невесте 1
38	невесте 142	возлюбленной 8	жене 5	девушке 2	любимой 2	подруге 2	избраннице 1	будущей жене 1	знакомой 1	маме 1	капли 1	невевсте 1	соседке 1	бухгалтерше 1	невестке 1	любовнице 1
39	ложкой 138	ложечкой 27	вилкой 5	кружке 1	- 1
40	письмо 138	послание 15	обращение 8	сообщение 4	пиьсмо 1	письмо, анонимку 1	признание 1	- 1	заявление 1	анонимное 1
41	почту 84	газеты 32	письма 31	корреспонденцию 9	прессу 3	газету 3	кабину 1	объявления 1	журналы, газеты 1	бумаги 1	утреннюю корреспонденцию 1	конверты 1	открытки 1	магазин 1	вести 1	журналы 1
42	грядки 67	огород 27	грядку 21	траву 11	картошку 7	морковь 7	поле 4	морковку 3	сорняки 3	капусту 3	лук 1	снопы 1	дрова 1	овес 1	сорняк 1	газон 1	клумбу 1	градки 1	пшеницу 1	сныть 1	брюкву 1	сорники 1	полынь 1	свой огород 1	рядиску 1	дно 1	кулбнику 1	растения 1	землю 1
43	тетрадь 51	учебник 39	книгу 30	дневник 12	дверь 11	портфель 4	книжку 4	рот 3	тетрадку 3	ранец 2	глаза 2	форточку 2	парту 1	рукопись 1	журнал 1	свою тетрадь 1	пенал 1	бутылку 1	тетрадку, книжку 1	букварь 1	учебники 1
44	овец 55	овцу 32	траву 29	газон 17	козу 6	овечку 4	травку 3	волосы 2	барашка 2	барана 2	цветы 2	коз 2	кусты 2	ногти 2	козочку 1	пастуха 1	конец 1	барашку 1	ягненка 1	мальчика 1	шерсть 1	обед 1	барашков 1	овечек 1
45	стихотворение 68	стихи 56	стих 8	поэму 6	стихотворения 5	Пушкина 4	французский 3	пьесу 2	стихотворние 2	стишок 2	язык 2	вдохновение 1	алфавит 1	немецкий; стихи 1	поэзию 1	стихотверения 1	- 1	танец 1	тексты 1	пушкина 1	песнь о горевати 1	стошок 1	математику 1	поэмы 1
46	еды 57	сладкого 33	мучного 8	пищи 8	жирного 5	ужина 5	хлеба 5	пирожных 4	пирожного 3	торта 3	сахара 2	тортиков 2	мороженого 2	пироженых 2	обеда 2	блинов 1	мучной пищи 1	сладостей 1	сталдкого 1	слодостей 1	завтрака 1	всего 1	десерта 1	жирной пищи 1	работы 1	роли 1	свинины 1	приема пищи 1	стадкого 1	жареного 1	сиропа 1	мяса 1	теста 1	плюшек 1	слодкого 1	шоколадок 1	- 1	сладкой пищи 1	котлет 1	мороженного 1	каши 1	булочек 1	соленого 1	жирной/жирного 1	булки 1
47	премию 129	премии 10	гонорар 5	зарплату 3	компенсацию 3	премиальные 3	пенсию 3	деньги 2	аванс 2	бонус 2	примии 1	денежное вознаграждение 1	вознаграждение 1	деньги/премию 1	ничего 1	награждение 1	прибавку 1	пряемию 1
48	лыжах 82	коньках 46	санках 22	санях 4	велосипеде 4	сноуборде 2	роликах 2	карусели 1	аптеке 1	скутере 1	машине 1	качелях 1	снегоходе 1	ледянке 1	жене 1	катке 1	квадрацикле 1
49	море 80	озере 28	реке 19	речке 10	пруду 9	бассейне 5	океане 3	парке 2	серебряном бору 1	сапогах 1	0223 1	месте 1	санатории 1	Крыму 1	реке  1	ванной 1	Черном море 1	луже 1	Азовском, море 1	— 1	плавках 1	Турции 1	пансионате 1	пляже 1
50	капустой 32	повидлом 24	мясом 22	вишней 11	яблоком 9	изюмом 8	яблоками 8	малиной 7	картошкой 7	вареньем 6	творогом 4	грибами 4	павидлом 2	джемом 2	грушей 1	ягодами 1	маслом 1	таворогом 1	яйцом 1	повидлой 1	свеклой 1	медом 1	лимоном 1	яйцом, и, луком 1	земляникой 1	ватрушкой 1	черникой 1	маком 1	тыквой 1	сыром, капустой 1	морковкой 1	малиновым вареньем 1	клубникой 1	голубикой 1	монетками 1	рисом 1	курицей 1	морошкой 1	луком 1	корицей 1
51	ногу 96	руку 46	нос 5	палец 4	шею 3	ключицу 3	пальчик 3	колено 2	лодыжку 2	игрушку 1	запястье 1	ребро 1	желудок 1	позвоночник 1	челюсть 1	руки 1	себе руку 1
52	соревнованиях 108	соревновании 13	олимпиаде 12	забеге 5	состязании 3	матче 3	состязаниях 2	беге 2	игре 1	экспедиции 1	турнире 1	соревнавании 1	соревнование 1	Олимпийских играх 1	отпуске 1	играх 1	спорте 1	сорвенованиях 1	спортакиаде 1	финале 1	афтепати 1	награждении 1	в следующем туре 1	совревнованиях 1	марафоне 1	гонке 1	сроревнованиях 1	дальнейших соревнованиях 1	чемпионате 1	банкете 1	шпионаже 1
53	музей 70	поход 11	зоопарк 8	Москву 6	лес 6	горы 5	город 4	кино 3	театр 3	планетарий 2	другой город 2	Суздаль 2	Париж 2	Кремль 2	Польшу 1	галерею 1	Эстонию 1	море 1	ленинград 1	иностранные государства 1	петергоф 1	пушкин 1	деревню 1	Монино 1	пещеру 1	санаторий 1	Минск 1	ресторан 1	сад 1	Ростов-на-Дону 1	Японию 1	Каргополь 1	школу 1	Кисловодск 1	м/другой город 1	Англию 1	Тарханы 1	университет 1	карелию 1	Казань 1	петербург 1	Санкт-петербург 1	кремль 1	пригород 1	Тибет 1	Питер 1	путешествие 1	Константинополь 1	магадан 1	Крым 1	Нижний новгород 1	замок 1	шоколадную фабрику 1	москву 1	Палеонтологический музей 1	новгород 1	дом отдыха 1	америку 1	Карелию 1	парк культуры 1
54	ручку 22	ключи 18	вазу 14	папку 13	поднос 12	бумаги 9	кофе 8	ключ 7	стакан 7	чашку 7	стул 6	документы 3	цветок 3	пресс-папье 3	папки 3	чай 2	документ 2	чайник 2	кружку 2	карандаш 2	чернильницу 2	блокнот 1	почту 1	брошюру 1	калькулятор 1	микрофон 1	кольцо 1	презервативы 1	посуду 1	- 1	чашку с кофе 1	тетрадь 1	картину 1	телефон 1	ложку 1	принтер 1	деньги 1	журнал 1	_ (ответ потерян) 1	компьютер 1	лажа??? 1	степлер 1	дверь 1	шкаф 1
55	ковер 102	полотно 10	пряжу 9	ткань 8	скатерть 4	платье 3	холст 3	платок 3	одежду 3	ковры 3	плед 2	шаль 2	шарф 2	- 2	холсты 2	дорожку 1	коврик 1	паранжу 1	рубашку 1	половик 1	халат 1	полотенце 1	рушник 1	палас 1	одеяло 1	на станке 1	шерсть 1	палантин 1	вещи 1
56	урну 65	мусорку 26	мусорное ведро 13	мусор 12	мусорный бак 8	корзину 6	помойку 6	мусорный ящик 6	ведро 5	бак 4	ящик 3	окно 3	унитаз 2	мусорницу 2	мусорник 2	мешок 1	мусоропровод 1	корзину мусорную 1	мусорный 1	муорную яму 1	полке 1	контейнер 1	мусорную корзину 1
57	ленту 69	цветок 20	цветы 17	ленты 8	бант 6	ленточку 5	венок 5	заколку 5	косу 4	розу 3	ромашку 3	бантики 2	резинку 2	бусы 2	ленточки 2	косичку 2	бантик 1	бант(ик) 1	фен 1	косу, ой, не косу, а ленту 1	нитки 1	пыль 1	пряди 1	солому 1	тесьму 1	змею 1	чудой локон 1	банты, бантики 1	1483 1
58	деньги 50	соль 42	денег 20	сахар 6	сто рублей 4	соли 3	телефон 2	- 2	три рубля 2	кастрюлю 2	ключи 2	фен 2	платье 1	яйцо 1	фломастер 1	картошку 1	чай 1	блокнот 1	_ 1	сто грамм спирта 1	рубль 1	пистолет 1	нож 1	муки 1	велосипед 1	пенал 1	дуршлак 1	ножницы 1	электрочайник 1	фен  1	марки 1	кофточку 1	десять рублей 1	градусник 1	кружку 1	часы 1	спички 1	шприц 1	деьги 1	муку 1	карандаш 1	биту 1	сигареты 1	стул 1	зубную пасту 1
59	стул 115	диван 19	скамейку 9	кресло 8	кушетку 3	краешек стула 3	табурет 3	стол 2	банкетку 2	- 1	скамью 1	краешек 1	подоконник 1	лавочку 1	колени 1	стульчик 1	лестнице 1
60	ученика 103	учеников 14	ученицу 9	студента 6	меня 6	работу 4	- 3	Васю 2	_ 2	мальчика 2	себя 1	учащихся 1	подчиненную 1	студентку 1	жену 1	другого 1	Валеру 1	маму 1	своего ассистента 1	школьника 1	учащегося 1	школьницу 1	маму ученика 1	детей 1	девочку 1	своего ученика 1	хулигана 1	воспитанника 1	директора 1	за хорошую работу 1
61	сок 101	компот 50	морс 6	сироп 5	сидр 3	коктейль 2	крюшон 1	кисель 1	чай 1	чай, сок 1	напиток 1
62	кофту 63	шаль 22	прическу 13	косу 11	юбку 6	шутку 4	сплетню 4	пряжу 3	- 3	одежду 3	кофточку 2	жилетку 2	вещь 2	шляпу 2	вышивку 2	шапку 2	болтовню 2	байку 2	платье 1	безрукавку 1	сумочку 1	вязаную кофту 1	штору 1	песню 1	шевелюру 1	тюль 1	скатерть 1	газету 1	плесень 1	вязаную вещь 1	крфту 1	вязь 1	герань 1	сумку 1	вещи 1	выдумку 1	лампу 1	речь 1	пенту 1
63	пакет 75	стакан 61	контейнер 9	стаканчик 8	мешок 4	кувшин 2	поднос 2	сосуд 2	ящик 1	нет ответа 1	горшок 1	кулек 1	паекет 1	графин 1	флакон 1	башмак 1
64	ложку 120	миску 15	тарелку 10	кружку 4	вилку 4	чашку 3	кастрюлю 3	форму 2	руку 1	флягу 1	посуду 1	рубашку 1	женщину 1	нет ответа 1	кухню 1	плошку 1	палатку 1	трубку 1	кровать 1
65	носки 110	варежки 23	колготки 11	чулки 6	гольфы 5	носочки 4	перчатки 4	рейтузы 2	руковички 1	шарф 1	трусы 1	Носки 1	тапочки 1	гольфики 1	пальто 1
66	плед 78	платок 53	шарф 23	свитер 3	кафтан 2	пиджак 2	тулуп 2	шаль 1	кошелек 1	халат 1	пододеяльник 1	кардиган 1	спальник 1	саван 1	мех 1	пуховик 1
67	чашку 84	вазу 27	статуэтку 13	тарелку 12	куклу 8	посуду 5	кружку 5	чашу 4	миску 2	лампу; чашку 1	утварь 1	салатницу 1	конфетницу 1	шляпу 1	кастрюлю 1	статую 1	люстру 1	статуетку  1	игрушку 1	чашечку 1	супницу 1
68	усмешкой 30	улыбкой 23	иронией 22	обидой 20	досадой 12	тоской 10	радостью 7	грустью 6	ухмылкой 5	ностальгией 5	правдой 4	ненавистью 4	печалью 4	слезой 2	совестью 1	час 1	сожалением/правдой 1	ноткой 1	теплотой 1	завистью 1	участью 1	успешкой 1	усталостью 1	болью 1	слезинкой 1	неохотой 1
69	шерсти 144	пряжи 19	ткани 3	ткани, шерсти, шерсти 1	- 1	шерсть альпаки как называется?  1	шерссти 1	пряди 1	козы 1
70	книгу 105	историю 15	газету 14	книжку 10	повесть 7	статью 3	литературу 3	пьесу 3	поэму 2	книгу  1	- 1	брошюрку 1	сказку 1	заметку 1	брошюру 1	— 1	карикатуру 1
71	ящике 50	сундуке 32	шкафу 27	сундучке 16	ящичке 8	ларце 6	комоде 6	столе 4	шкафчике 3	секретере 2	сейфе 2	саквояже 1	брелке 1	поддоне 1	сарае 1	ларчике 1	- 1	башмаке 1	коробке 1	коможе 1	шкатуле; дупле 1	саркофаге 1	доме 1	шкафчике, сундуке 1	дупле 1	чехле 1	пенале 1
72	игрушками 65	шарами 44	гирляндами 20	шариками 15	огнями 4	фонариками 4	бусами 3	игрушкаи 2	красками 2	огоньками 1	словами 1	камнями 1	лентами 1	картинками 1	лампочками 1	бантами 1	флажками 1	конфети 1	звездами 1	звездочками 1	снежинками 1	цветами 1
73	скрипке 65	флейте 26	гитаре 25	арфе 12	виолончели 10	трубе 7	балалайке 4	дудочке 3	гармошке 3	- 2	лютне 2	домре 1	валторне 1	скрипкой 1	цитэ 1	дуде 1	инструменте 1	гармонике 1	дудке 1	— 1	ложке 1	рояль 1	срипке 1	шарманке 1
74	учителя 63	сотрудника 35	преподавателя 31	педагога 14	уборщика 3	стажера 2	ученика 2	секретаря 2	завуча 2	перподавателя 1	дворника 1	заместителя 1	бегемота 1	бухгалтера 1	историка 1	ассистента 1	сторожа 1	химика 1	учителя  1	друга 1	тренера 1	трудовика 1	физрука 1	сотрудницу 1	программиста 1	специалиста 1	преподаателя 1
75	лесу 71	месте 57	городе 30	парке 3	районе 3	здании 2	замке 1	- 1	доме 1	местности 1	селе? 1	лабиринте 1
76	постель 97	кровать 60	ванну 7	кроватку 4	постельку 2	ванную 1
77	восторгом 62	восхищением 37	удивлением 16	удовольствием 13	уважением 5	сожалением 4	сочувствием 3	недовольством 3	недоумением 3	чувством 2	интересом 2	удовлетворением 2	изумлением 2	откровением 1	радушием 1	осхищением 1	наслаждением 1	волнением 1	удовольствтем 1	разочарованием 1	впечатлением  1	мнением 1	раздражением 1	отвращением 1	неудовольствием 1	отзывом 1	возбуждением 1	пожеланием 1
78	растения 88	цветы 75	растение 3	фиалки 2	цветы, растения 1	цветочки 1	комнатные растения 1	помидоры 1
79	истории 123	анекдоты 42	рассказы 2	байки 1	сказки 1	случаи 1	анектоды 1
80	кошку 127	собаку 7	кошечку 4	кофту 4	юбку 3	кофточку 3	белку 2	лошадь 1	кошнечку 1	шкуру 1	жаржетку 1	юбочку 1	лисичку 1	варежку 1	рубашку 1	куклу 1	игрушку 1	шерсть кота 1	- 1	киску 1	козу 1	белочку 1	шер/шапку 1	мышку 1	подушку 1	жилетку 1	гладила 1	голову 1	собачку 1
81	чемодан 27	жену 18	пистолет 10	фотографию 6	документы 6	рюкзак 6	портфель 5	бритву 5	нож 4	автомат 4	планшет 3	оружие 3	сына 3	телефон 2	флягу 2	пулемет 2	книгу 2	книги 2	кипятильник 2	вещи 2	вещмешок 2	письмо 2	карту 1	бритвенный прибор 1	электрическую бритву 1	компот 1	книжку 1	ноутбук 1	бинокль 1	друзей 1	документ 1	мишку 1	разговорник 1	папку 1	сухари 1	чемоданчик 1	водку 1	кружку 1	запасные брюки 1	несессер 1	обед 1	кошелек 1	билет 1	кофе 1	фотографию жены 1	собаку 1	фотоаппарат 1	бутерброд 1	ложку 1	фотографии 1	полотенце 1	револьвер 1	дневник 1	паспорт 1	письма 1	саквояж 1	фен 1	билеты 1	бутылку водки 1	шинель 1	самое необходимое 1	наган 1	сигарету 1	вино 1	бумажник 1	талисман 1	сумку 1	паланшет 1	еду 1	штаны 1	семью 1	шубу 1
82	чертеж 67	круг 15	схему 11	окружность 7	квадрат 6	проект 6	эскиз 6	график 5	треугольник 5	деталь 4	чертежи 3	дом 3	план 3	макет 2	диаграмму 2	линию 2	прямоугольник 1	инж. Граф 1	круги 1	карту 1	лестницу 1	графмк 1	диплом 1	чертенка 1	модель 1	линии 1	таблицу 1	интеграмму 1	фигуры 1	на доске 1	планометрическую проекцию 1	план района 1	проекции 1	плакат 1	на бумаге 1	колесо 1	лампу 1	параллелепипед 1	картинку 1	ерунду 1
83	кабинет 59	офис 33	стол 21	елку 18	комнату 9	зал 5	приемную 4	дверь 4	окна 2	себя 1	помещение цветами 1	начальника 1	стены 1	сад 1	окно 1	стену 1	салон 1	помещение 1	свой стол 1	- 1	свою голову 1	гирляндами 1	замок 1	рабочее место 1	свой дом 1
